Simulation Mode;Density target;currentPosition X;currentPosition Y;currentPosition Z;currentPosition Type;nextPosition X;nextPosition Y;nextPosition Z;nextPosition Type;targetPosition X;targetPosition Y;targetPosition Z;targetPosition Type;Heading angle;flightState;localCollisions;currentPathStep;currentStepPercentage;flightSpeed;aircraftDiameter;Flight count;Far collisions;Medium collisions;Close collisions;Spot on collisions;;;;
Polygons;50;-1551.735;59.92893;-927.303;NoFlyEvasion;-1532.592;57.6;-826.9503;NoFlyEvasion;-817.4072;0;259.8252;Ground;79.2;Transit;1 0 1 1;8;26;2;0.44;823;2645;1121;285;35;0.6620281;0.6507388;490;772
Polygons;50;-1551.857;59.94376;-927.9421;NoFlyEvasion;-1532.592;57.6;-826.9503;NoFlyEvasion;-1130.998;0;46.95752;Ground;79.2;Transit;1 1 1 1;6;20;13;0.89;823;2645;1121;285;36;0.6620281;0.6507388;772;490
Polygons;50;-1558.281;61.02306;-974.6024;NoFlyEvasion;-1558.895;60.8;-964.837;NoFlyEvasion;-1233.181;0;20.66504;Ground;93.6;Transit;1 1 1 1;9;91;7;0.13;833;2680;1143;295;37;1.493393;1.42096;730;766
Polygons;50;-1558.191;61.05544;-976.0202;NoFlyEvasion;-1558.895;60.8;-964.837;NoFlyEvasion;-1760.591;0;201.4737;Ground;93.6;Transit;2 1 1 1;10;89;17;2.86;833;2680;1143;295;38;1.493393;1.42096;766;730
Polygons;50;-1540.151;58.5197;-866.5795;NoFlyEvasion;-1532.592;57.6;-826.9503;NoFlyEvasion;-817.4072;0;259.8252;Ground;79.2;Transit;1 0 1 1;8;70;2;0.44;836;2693;1147;298;39;1.648055;1.624585;490;766
Polygons;50;-1540.456;58.55672;-868.1749;NoFlyEvasion;-1532.592;57.6;-826.9503;NoFlyEvasion;-1760.591;0;201.4737;Ground;79.2;Transit;2 2 2 2;11;62;17;2.86;836;2693;1147;298;40;1.648055;1.624585;766;490
Polygons;50;-1535.33;57.93317;-841.3063;NoFlyEvasion;-1532.592;57.6;-826.9503;NoFlyEvasion;-817.4072;0;259.8252;Ground;79.2;Transit;2 0 2 2;8;89;2;0.44;842;2715;1157;301;41;0.2841704;0.2786963;490;730
Polygons;50;-1535.382;57.93952;-841.58;NoFlyEvasion;-1532.592;57.6;-826.9503;NoFlyEvasion;-1233.181;0;20.66504;Ground;79.2;Transit;2 2 2 2;10;88;7;0.13;842;2715;1157;301;42;0.2841704;0.2786963;730;490
Polygons;50;-1547.891;64.16154;-1111.672;NoFlyEvasion;-1550.081;64;-1104.933;NoFlyEvasion;-2175.015;0;1067.981;Ground;107.99;Transit;1 1 1 1;5;94;4;1.58;908;2973;1247;325;43;1.068538;1.000157;777;869
Polygons;50;-1547.582;64.18433;-1112.623;NoFlyEvasion;-1550.081;64;-1104.933;NoFlyEvasion;-1881.354;0;443.9684;Ground;108;Transit;1 1 1 1;6;92;16;0.56;908;2973;1247;325;44;1.068538;1.000157;869;777
Polygons;50;-671.2962;70.33974;-552.0774;NoFlyEvasion;-730.2172;72;-509.2687;NoFlyEvasion;-1230.959;0;1276.838;Ground;143.98;Transit;1 1 1 1;11;44;12;0.68;913;3000;1258;328;45;0.6480063;0.5625281;845;874
Polygons;50;-670.8438;70.27927;-552.4061;NoFlyEvasion;-730.2172;71.9;-509.2687;NoFlyEvasion;-95.82397;0;1536.322;Ground;143.98;Transit;3 1 1 1;13;39;25;0.62;913;3000;1258;328;46;0.6480063;0.5625281;874;845
Polygons;50;880.9113;45.31023;1544.956;NoFlyEvasion;1000;43.6;1560;NoFlyEvasion;2156.605;0;1137.232;Ground;7.25;Transit;1 1 1 1;5;12;6;2.48;988;3282;1380;371;47;1.903036;1.873801;793;871
Polygons;50;879.3013;44.37336;1544.752;NoFlyEvasion;1000;41.6;1560;NoFlyEvasion;1811.372;0;2111.334;Ground;7.32;Transit;3 1 1 1;7;8;16;1.32;988;3282;1380;371;48;1.903036;1.873801;871;793
Polygons;50;-1177.564;85.76925;-1528.014;NoFlyEvasion;-1070.187;83.4;-1555.584;NoFlyEvasion;-887.5662;0;-2262.367;Ground;194.45;Transit;1 0 1 1;12;20;3;2.07;1103;3714;1559;424;49;2.368671;2.350524;580;935
Polygons;50;-1179.84;85.80013;-1527.43;NoFlyEvasion;-1070.187;83.3;-1555.584;NoFlyEvasion;-709.8538;0;-1966.958;Ground;194.45;Transit;1 1 1 1;12;17;11;2.67;1103;3714;1559;424;50;2.368671;2.350524;935;580
Polygons;50;-283.6053;68.7;602.7219;Air;-1034.129;68.7;1525.566;Air;-1034.129;0;1525.566;Ground;129.12;Transit;2 1 1 1;1;54;4;1.79;1202;4247;1779;476;51;1.850776;1.797294;1043;1111
Polygons;50;-281.8371;68.8;602.4153;Air;-616.3617;68.8;1009.09;Air;-616.3617;0;1009.09;Ground;129.44;Transit;6 3 1 1;1;87;17;1.91;1202;4247;1779;476;52;1.850776;1.797294;1111;1043
Polygons;50;860.7337;44.8;1542.407;NoFlyEvasion;860.7337;44.8;1542.407;NoFlyEvasion;1255.929;0;2055.213;Ground;180;Transit;1 1 1 1;10;98;17;1.72;1204;4258;1780;477;53;2.06222;1.898397;1084;1142
Polygons;50;858.9691;44.84327;1541.708;NoFlyEvasion;860.7337;44.8;1542.407;NoFlyEvasion;2012.189;0;2065.778;Ground;21.64;Transit;1 1 1 1;4;89;19;2.41;1204;4258;1780;477;54;2.06222;1.898397;1142;1084
